amount,average_transaction_amount,amount_deviation,transaction_hour,transaction_day,transactions_last_10_minutes,transaction_frequency,is_new_device,is_new_location,merchant_risk,is_fraud
2482.15,2500.0,0.99,8,11,0,20,0,0,0,0
2658.39,3000.0,0.89,20,25,0,8,0,0,1,0
2807.45,2000.0,1.4,9,28,1,28,0,0,0,0
17787.74,3000.0,5.93,20,24,5,29,1,1,0,0
2958.95,2500.0,1.18,11,1,0,31,0,0,0,0
1541.66,2000.0,0.77,19,23,0,24,0,0,0,0
2221.44,2000.0,1.11,8,13,0,30,0,0,0,0
2975.75,1500.0,1.98,13,6,1,14,0,0,0,0
3037.47,2000.0,1.52,20,15,0,15,0,0,1,0
3981.96,3000.0,1.33,20,6,0,6,0,0,0,0
5460.79,6000.0,0.91,7,7,0,18,0,0,0,0
2013.82,2000.0,1.01,16,4,0,19,0,0,1,0
3523.9,4500.0,0.78,15,6,0,25,0,0,0,0
1794.55,3000.0,0.6,17,11,0,45,0,0,0,0
6959.99,6000.0,1.16,11,10,0,14,0,0,1,0
27429.28,12000.0,2.29,8,13,0,43,0,0,0,0
538.87,2000.0,0.27,8,25,0,11,0,0,0,0
2068.22,2000.0,1.03,7,2,0,25,0,0,1,0
62211.99,4000.0,15.55,1,15,2,30,1,0,0,1
7349.77,6000.0,1.22,20,11,1,5,0,0,0,0
13116.06,3000.0,4.37,8,1,5,18,1,1,1,1
1860.95,3000.0,0.62,10,27,0,43,0,0,0,0
3540.24,2500.0,1.42,13,4,0,49,0,0,0,0
3264.13,4500.0,0.73,12,15,0,32,0,0,0,0
8453.17,8000.0,1.06,17,8,0,13,0,0,0,0
2785.92,2000.0,1.39,9,23,0,22,0,0,0,0
10210.02,6000.0,1.7,16,7,0,16,0,0,0,0
9294.73,2500.0,3.72,11,13,5,10,1,0,2,0
16544.73,12000.0,1.38,18,5,0,42,0,0,1,0
2759.45,2500.0,1.1,9,13,1,21,0,0,0,0
5350.41,2500.0,2.14,11,26,0,22,0,0,0,0
7265.58,8000.0,0.91,21,18,0,12,0,0,0,0
53018.91,12000.0,4.42,15,18,4,15,1,0,1,0
3089.67,2000.0,1.54,16,23,0,28,0,0,1,0
3993.03,2000.0,2.0,17,7,0,7,0,0,0,0
2642.88,2500.0,1.06,8,19,0,47,0,0,2,0
2910.96,2500.0,1.16,17,3,0,27,0,0,0,0
7094.09,12000.0,0.59,18,13,0,23,0,0,0,0
1743.54,2500.0,0.7,12,4,0,30,0,0,2,0
5762.03,8000.0,0.72,1,9,0,14,0,0,2,0
4667.17,6000.0,0.78,14,20,0,8,0,0,0,0
21952.55,12000.0,1.83,12,22,1,13,0,0,0,0
10506.19,12000.0,0.88,8,8,0,22,0,0,0,0
24354.77,4500.0,5.41,21,16,3,16,0,0,0,0
2172.52,3000.0,0.72,20,10,0,7,0,0,0,0
6803.4,8000.0,0.85,10,22,1,49,0,0,0,0
2556.98,1500.0,1.7,18,16,0,23,0,0,0,0
1089.8,2000.0,0.54,6,19,0,43,0,0,1,0
16831.95,12000.0,1.4,22,5,0,42,0,0,1,0
7098.16,12000.0,0.59,12,7,0,32,0,0,1,0
2363.94,2500.0,0.95,1,15,0,44,0,0,0,0
3527.83,2500.0,1.41,15,17,1,23,0,0,0,0
8901.62,12000.0,0.74,14,15,1,14,0,0,0,0
11022.69,2500.0,4.41,13,20,3,10,0,0,1,0
17886.22,4500.0,3.97,8,3,3,21,1,1,1,0
10336.25,6000.0,1.72,15,22,0,34,0,0,0,0
3858.7,4500.0,0.86,20,24,0,29,0,0,0,0
15187.45,12000.0,1.27,19,14,0,27,0,0,0,0
9419.06,6000.0,1.57,20,18,0,39,0,0,0,0
21167.25,4500.0,4.7,19,3,5,14,0,0,0,0
4289.19,6000.0,0.71,19,16,0,30,0,0,0,0
5085.24,6000.0,0.85,0,11,0,19,0,0,0,0
4184.38,2500.0,1.67,18,1,0,31,0,0,0,0
1218.22,1500.0,0.81,2,20,0,43,0,0,0,0
6955.75,12000.0,0.58,19,1,1,39,0,0,0,0
4217.76,4500.0,0.94,23,2,0,36,0,0,0,0
1342.59,3000.0,0.45,12,28,0,34,0,0,0,0
4220.77,2500.0,1.69,9,20,0,22,0,0,0,0
31298.48,8000.0,3.91,19,26,5,45,0,0,1,0
2354.74,2500.0,0.94,10,14,0,44,0,0,0,0
1155.47,1500.0,0.77,14,26,0,33,0,1,0,0
5064.12,6000.0,0.84,8,18,0,17,0,0,0,0
6164.2,8000.0,0.77,9,6,1,10,0,0,1,0
1428.96,2000.0,0.71,15,21,0,36,0,0,0,0
3439.36,2500.0,1.38,18,22,0,46,1,0,0,0
1728.68,3000.0,0.58,20,22,0,21,0,0,0,0
17888.41,12000.0,1.49,15,12,1,47,0,0,0,0
14592.26,12000.0,1.22,19,11,0,39,0,0,0,0
7835.57,8000.0,0.98,7,27,0,22,0,0,0,0
3353.08,3000.0,1.12,5,17,0,22,0,0,0,0
4567.43,4500.0,1.01,11,26,0,15,0,0,0,0
1874.01,2000.0,0.94,11,28,0,15,0,0,0,0
19359.8,4000.0,4.84,16,25,4,39,1,0,1,1
1849.53,3000.0,0.62,12,19,0,44,0,0,1,0
2057.11,2000.0,1.03,20,8,0,37,0,1,0,0
1497.77,2500.0,0.6,20,11,0,36,0,0,1,0
2172.71,1500.0,1.45,13,4,0,19,0,0,0,0
7302.1,8000.0,0.91,10,20,0,9,0,0,0,0
10841.6,8000.0,1.36,12,16,0,45,0,0,2,0
6206.61,8000.0,0.78,22,26,0,35,0,0,1,0
9816.34,12000.0,0.82,8,25,0,36,0,0,1,0
11674.22,12000.0,0.97,18,14,0,24,0,0,1,0
10754.85,2500.0,4.3,17,2,5,43,1,0,0,0
9747.7,12000.0,0.81,8,16,0,37,0,0,0,0
7886.98,12000.0,0.66,10,7,0,25,1,0,0,0
4284.55,4500.0,0.95,10,28,0,42,1,0,0,0
1845.4,2000.0,0.92,19,21,0,6,0,0,0,0
1790.75,2500.0,0.72,8,17,0,50,0,0,0,0
1544.37,1500.0,1.03,15,16,0,27,0,0,0,0
6237.26,4500.0,1.39,16,7,0,12,0,0,0,0
8740.56,6000.0,1.46,11,5,1,20,0,0,0,0
2486.49,2500.0,0.99,19,24,0,35,0,0,0,0
2031.05,2500.0,0.81,13,12,0,16,0,0,0,0
13269.22,8000.0,1.66,12,15,0,44,0,0,0,0
8913.11,2500.0,3.57,12,22,3,36,1,1,1,0
3588.89,1500.0,2.39,12,9,0,10,0,0,0,0
8669.82,6000.0,1.44,17,24,0,26,0,0,0,0
4836.16,3000.0,1.61,12,23,2,8,0,0,0,0
6580.64,8000.0,0.82,19,22,0,8,0,0,0,0
11773.77,6000.0,1.96,15,16,1,15,0,0,0,0
6367.42,6000.0,1.06,19,26,0,39,0,0,0,0
830.72,1500.0,0.55,9,5,0,31,0,0,0,0
955.66,1500.0,0.64,18,16,0,19,0,0,0,0
2732.3,4500.0,0.61,13,26,2,6,0,0,0,0
12511.31,12000.0,1.04,19,23,1,13,0,0,0,0
6979.88,6000.0,1.16,16,12,0,45,0,0,1,0
10965.93,3000.0,3.66,17,28,4,26,1,0,2,0
1847.58,1500.0,1.23,9,12,0,12,0,0,0,0
2109.22,2000.0,1.05,9,18,0,14,0,0,0,0
2077.52,2000.0,1.04,19,6,0,24,0,0,0,0
5270.47,3000.0,1.76,21,4,0,21,0,0,1,0
2111.95,2000.0,1.06,15,23,0,21,0,0,0,0
2752.17,2000.0,1.38,6,28,0,15,0,0,0,0
6544.03,6000.0,1.09,12,22,0,41,0,0,0,0
3928.51,4500.0,0.87,15,13,0,8,0,0,0,0
5604.83,4500.0,1.25,10,13,0,49,0,0,0,0
11939.4,8000.0,1.49,9,23,0,22,1,0,0,0
2702.83,2500.0,1.08,16,9,0,22,0,0,0,0
1283.72,1500.0,0.86,16,11,0,21,0,0,0,0
831.58,2000.0,0.42,14,18,0,18,0,0,0,0
1601.8,3000.0,0.53,9,5,0,7,0,0,0,0
11232.2,2000.0,5.62,17,3,11,13,1,1,1,1
9174.62,8000.0,1.15,16,22,0,16,1,0,0,0
7636.74,12000.0,0.64,14,12,1,49,0,0,0,0
6959.6,6000.0,1.16,17,1,0,13,0,0,0,0
3124.78,3000.0,1.04,11,10,0,44,0,0,0,0
28454.19,8000.0,3.56,17,22,5,30,1,1,0,0
13873.55,2000.0,6.94,15,2,9,28,1,0,1,1
1284.27,2000.0,0.64,8,19,0,50,0,0,0,0
2442.66,1500.0,1.63,18,23,0,9,0,0,0,0
2701.37,8000.0,0.34,21,15,0,33,0,0,0,0
2627.31,2000.0,1.31,9,3,0,24,0,0,0,0
9439.21,12000.0,0.79,12,24,0,13,0,0,0,0
2772.16,4500.0,0.62,13,25,0,12,0,0,0,0
26081.71,12000.0,2.17,6,28,1,47,0,0,0,0
4286.41,8000.0,0.54,7,20,0,40,0,0,0,0
3494.78,3000.0,1.16,21,26,0,23,0,0,0,0
10258.86,12000.0,0.85,16,26,0,46,0,1,0,0
4944.02,12000.0,0.41,15,4,0,27,0,0,0,0
2105.73,3000.0,0.7,13,6,0,10,0,0,0,0
6737.13,12000.0,0.56,21,24,0,40,0,0,0,0
5060.95,4500.0,1.12,19,18,0,28,0,0,0,0
29744.88,8000.0,3.72,18,5,3,38,1,0,2,0
2566.59,1500.0,1.71,15,15,0,29,1,0,0,0
2636.53,2500.0,1.05,7,3,0,44,0,0,0,0
3182.61,3000.0,1.06,13,18,0,9,0,0,0,0
3076.21,4500.0,0.68,11,25,0,46,0,0,0,0
7317.16,8000.0,0.91,14,5,1,6,0,0,0,0
9224.78,2000.0,4.61,20,18,4,11,1,0,1,0
4631.85,4500.0,1.03,16,13,0,6,0,0,0,0
7331.82,6000.0,1.22,12,1,0,28,0,0,0,0
21898.94,12000.0,1.82,14,10,0,23,0,0,0,0
3867.54,4500.0,0.86,14,27,0,15,0,0,1,0
2913.99,8000.0,0.36,18,6,0,40,0,0,0,0
974.73,2000.0,0.49,14,22,0,25,0,0,0,0
4776.9,4500.0,1.06,17,8,0,15,0,0,0,0
2439.96,2500.0,0.98,8,14,1,35,0,0,0,0
6016.65,4500.0,1.34,17,21,0,48,0,1,0,0
8523.78,12000.0,0.71,18,8,0,44,0,0,0,0
4125.71,2500.0,1.65,11,9,0,44,0,0,0,0
7699.49,6000.0,1.28,18,17,0,36,0,0,0,0
16362.19,12000.0,1.36,17,12,0,6,0,0,2,0
2677.73,3000.0,0.89,15,5,0,17,0,0,0,0
3484.51,3000.0,1.16,13,27,0,30,0,0,0,0
58538.22,12000.0,4.88,13,28,3,44,1,0,0,0
2040.63,2000.0,1.02,10,6,1,10,0,1,0,0
3046.79,3000.0,1.02,12,27,0,13,0,0,0,0
5041.13,8000.0,0.63,19,13,0,22,0,0,0,0
3050.74,4500.0,0.68,18,17,1,14,0,0,0,0
2142.98,3000.0,0.71,17,15,0,23,0,0,0,0
2460.91,1500.0,1.64,9,23,0,48,0,0,0,0
5716.11,4500.0,1.27,10,1,0,16,0,0,0,0
3086.54,4500.0,0.69,10,21,1,10,0,0,0,0
4280.44,8000.0,0.54,11,20,2,43,0,0,0,0
9781.6,6000.0,1.63,12,6,1,37,0,0,0,0
20094.79,4500.0,4.47,11,14,4,40,1,0,1,0
17514.21,12000.0,1.46,15,28,1,25,0,0,0,0
10355.8,12000.0,0.86,8,28,0,42,0,0,0,0
2804.34,3000.0,0.93,15,10,0,33,0,0,0,0
1551.84,2000.0,0.78,9,13,1,42,0,0,0,0
12556.49,2500.0,5.02,17,17,4,50,1,0,1,0
6197.65,6000.0,1.03,8,17,0,45,1,0,0,0
4547.5,3000.0,1.52,11,28,0,20,0,0,0,0
7208.39,8000.0,0.9,13,15,1,44,0,0,0,0
15762.5,12000.0,1.31,12,9,0,23,0,0,0,0
18068.97,4500.0,4.02,18,11,3,10,0,0,1,0
5999.68,6000.0,1.0,8,14,0,37,0,0,0,0
9697.06,12000.0,0.81,11,6,0,47,0,0,2,0
5385.05,6000.0,0.9,20,28,1,18,0,0,0,0
1374.54,1500.0,0.92,12,3,0,12,0,0,0,0
7002.14,4500.0,1.56,18,27,0,27,0,0,0,0
14967.6,3000.0,4.99,18,25,3,46,1,1,1,0
24626.13,3000.0,8.21,4,4,7,29,1,1,2,1
10404.19,8000.0,1.3,11,11,0,35,0,0,0,0
45949.15,8000.0,5.74,10,23,5,40,0,0,0,0
1283.64,1500.0,0.86,20,23,2,22,0,0,1,0
13286.7,8000.0,1.66,10,14,0,9,0,0,0,0
3024.67,4500.0,0.67,17,23,0,15,0,0,0,0
1448.47,6000.0,0.24,16,11,0,36,0,0,0,0
4168.5,2500.0,1.67,7,23,1,19,0,0,0,0
1244.96,2000.0,0.62,18,28,1,27,0,0,0,0
6072.04,4500.0,1.35,12,18,0,23,0,0,0,0
6967.78,3000.0,2.32,13,25,0,13,0,0,0,0
1630.14,1500.0,1.09,7,15,1,8,0,0,0,0
1398.94,2000.0,0.7,19,14,0,28,0,0,0,0
2987.82,2500.0,1.2,15,1,0,38,0,0,0,0
7639.54,2000.0,3.82,7,17,5,5,1,1,0,0
16831.36,4500.0,3.74,14,11,3,10,0,0,0,0
8904.58,6000.0,1.48,13,17,0,19,0,0,0,0
1498.11,3000.0,0.5,20,18,0,17,0,0,0,0
5306.92,8000.0,0.66,9,19,0,33,0,0,0,0
4041.91,4500.0,0.9,18,27,0,6,0,0,0,0
10900.66,12000.0,0.91,10,21,0,14,0,0,1,0
3768.43,6000.0,0.63,16,9,0,47,0,0,0,0
2605.79,2000.0,1.3,15,22,0,6,0,0,0,0
41009.83,8000.0,5.13,15,25,4,42,1,1,1,0
6318.83,4500.0,1.4,15,22,0,16,0,0,0,0
1406.52,1500.0,0.94,19,5,0,38,1,0,1,0
12738.83,12000.0,1.06,0,8,0,45,0,0,0,0
2747.15,3000.0,0.92,11,21,0,40,0,0,0,0
3425.46,3000.0,1.14,14,12,0,17,0,0,0,0
7731.01,4500.0,1.72,23,1,0,46,0,0,0,0
1879.45,2500.0,0.75,14,5,0,46,0,0,0,0
2953.8,3000.0,0.98,6,5,0,18,0,0,0,0
10899.01,12000.0,0.91,16,28,0,15,0,0,0,0
4089.62,6000.0,0.68,15,26,0,21,0,0,0,0
15009.06,1500.0,10.01,1,14,5,47,1,1,2,1
1240.34,1500.0,0.83,20,26,1,41,0,0,0,0
1313.12,1500.0,0.88,8,4,0,29,0,0,0,0
4458.29,6000.0,0.74,13,2,0,31,0,0,0,0
1910.54,2500.0,0.76,8,16,0,40,0,0,0,0
2850.85,2500.0,1.14,23,24,0,27,0,0,0,0
10525.27,12000.0,0.88,7,11,2,38,0,0,1,0
2702.73,2500.0,1.08,16,3,0,20,0,0,1,0
1137.24,1500.0,0.76,7,2,0,24,0,0,0,0
1337.79,2000.0,0.67,23,4,0,38,0,0,1,0
9704.36,6000.0,1.62,12,5,0,36,0,0,0,0
1074.78,2500.0,0.43,16,26,0,47,0,0,0,0
1997.7,3000.0,0.67,13,22,0,5,0,0,0,0
16363.85,3000.0,5.45,14,10,4,48,1,0,1,0
4412.39,4500.0,0.98,11,21,1,14,0,0,0,0
2781.02,2500.0,1.11,21,4,0,31,0,0,0,0
3293.94,2500.0,1.32,19,28,0,37,0,0,0,0
2572.25,2000.0,1.29,8,16,0,12,0,0,0,0
1261.15,2000.0,0.63,10,14,1,28,0,0,0,0
35651.64,8000.0,4.46,19,5,3,16,1,0,1,0
58197.89,12000.0,4.85,12,11,3,37,1,1,1,0
5543.99,6000.0,0.92,5,10,0,49,0,0,0,0
13091.35,2500.0,5.24,5,7,3,11,0,0,0,0
2200.56,4500.0,0.49,17,26,1,47,0,0,0,0
2766.08,2500.0,1.11,9,17,0,19,0,0,0,0
8819.47,8000.0,1.1,19,18,0,46,0,0,0,0
8061.94,8000.0,1.01,15,12,0,11,0,1,0,0
9826.83,6000.0,1.64,16,20,0,6,0,0,0,0
4723.38,8000.0,0.59,16,8,0,39,0,0,0,0
1802.84,2000.0,0.9,14,12,0,25,0,0,0,0
4729.6,4500.0,1.05,18,28,0,11,0,0,0,0
2596.58,3000.0,0.87,11,18,0,19,0,0,0,0
3315.99,2500.0,1.33,6,18,0,39,0,0,0,0
1505.4,2000.0,0.75,14,23,0,23,0,0,2,0
3848.09,6000.0,0.64,8,24,0,48,0,0,0,0
2614.59,2000.0,1.31,21,8,0,20,0,0,0,0
22825.62,4500.0,5.07,13,24,4,6,1,0,0,0
6884.66,1500.0,4.59,11,13,4,35,1,0,1,0
2579.12,4500.0,0.57,17,20,0,41,0,0,0,0
2784.76,1500.0,1.86,10,8,0,16,0,0,0,0
2050.63,2000.0,1.03,11,1,1,27,0,0,0,0
5345.31,8000.0,0.67,13,12,0,24,0,0,0,0
8849.91,12000.0,0.74,16,24,0,33,0,1,0,0
7596.07,4500.0,1.69,23,21,1,42,0,0,1,0
8946.6,1500.0,5.96,13,10,4,11,1,0,2,0
2049.47,1500.0,1.37,18,7,0,9,0,0,2,0
2119.5,2000.0,1.06,19,12,0,25,0,0,0,0
13235.73,3000.0,4.41,11,14,5,27,1,1,1,0
8212.86,8000.0,1.03,20,13,0,25,1,0,0,0
6833.87,8000.0,0.85,19,23,0,35,0,0,0,0
11635.83,2000.0,5.82,16,26,5,19,1,1,1,1
8597.04,12000.0,0.72,21,22,0,42,0,0,0,0
9904.1,12000.0,0.83,13,9,2,26,0,0,0,0
3680.81,4500.0,0.82,17,10,0,33,0,0,1,0
22147.59,4500.0,4.92,12,11,4,12,1,0,1,0
1259.37,3000.0,0.42,16,21,0,45,0,0,0,0
7433.56,1500.0,4.96,20,11,4,18,1,1,1,1
6291.18,4500.0,1.4,11,28,0,35,0,0,1,0
1107.7,2500.0,0.44,10,21,0,40,0,0,1,0
4119.72,3000.0,1.37,8,3,1,14,0,0,0,0
3245.4,2000.0,1.62,15,15,0,50,0,0,0,0
6695.73,1500.0,4.46,19,25,5,7,1,0,0,0
58426.12,12000.0,4.87,10,28,3,7,0,0,2,0
1000.99,1500.0,0.67,9,10,0,5,0,0,1,0
5441.43,8000.0,0.68,15,3,0,36,0,0,1,0
16674.33,12000.0,1.39,13,10,0,46,0,0,0,0
1514.34,2000.0,0.76,13,18,0,33,0,1,0,0
2017.5,2500.0,0.81,16,14,0,44,0,0,0,0
4634.55,4500.0,1.03,19,12,0,21,0,0,0,0
4002.23,6000.0,0.67,19,3,1,21,0,0,0,0
2617.05,6000.0,0.44,1,28,2,29,0,0,0,0
9103.38,8000.0,1.14,15,5,0,36,0,0,0,0
2547.64,3000.0,0.85,18,8,0,50,0,0,0,0
2896.32,1500.0,1.93,15,23,1,22,0,0,0,0
67510.7,4000.0,16.88,1,20,3,25,1,1,2,1
1778.11,3000.0,0.59,15,17,0,25,0,0,0,0
9315.59,8000.0,1.16,15,18,0,49,0,0,0,0
10039.06,6000.0,1.67,19,13,0,28,0,0,0,0
5555.72,6000.0,0.93,9,22,0,16,0,0,0,0
3028.36,4500.0,0.67,9,22,1,29,0,0,0,0
17464.61,3000.0,5.82,7,21,4,47,1,0,0,0
7966.28,12000.0,0.66,16,10,0,33,0,0,0,0
10600.4,12000.0,0.88,8,22,0,28,0,0,0,0
17682.0,2500.0,7.07,7,28,7,38,1,1,1,1
1133.82,1500.0,0.76,13,4,1,42,0,0,0,0
11952.04,2000.0,5.98,13,24,5,26,0,1,0,0
1716.47,2000.0,0.86,19,15,0,20,0,0,1,0
1246.88,1500.0,0.83,22,17,0,14,0,0,0,0
5885.87,6000.0,0.98,17,20,0,26,0,0,0,0
2726.61,3000.0,0.91,15,7,1,35,0,0,0,0
11086.05,4500.0,2.46,21,28,0,32,0,0,0,0
5889.52,2500.0,2.36,16,25,0,32,0,0,0,0
8099.13,6000.0,1.35,0,28,0,22,0,0,0,0
8550.15,2000.0,4.28,21,28,4,26,1,0,1,0
2182.69,3000.0,0.73,17,10,0,36,0,0,1,0
11742.73,2000.0,5.87,9,19,5,11,1,0,1,1
10542.88,8000.0,1.32,20,12,0,38,0,0,0,0
3099.51,4500.0,0.69,15,16,2,25,0,0,0,0
9380.69,8000.0,1.17,16,16,0,45,0,0,0,0
9610.74,2500.0,3.84,13,26,4,37,1,1,2,0
2878.21,2500.0,1.15,9,10,0,35,0,0,0,0
79945.74,4000.0,19.99,2,21,7,43,1,1,2,1
1797.98,2000.0,0.9,15,27,0,6,1,1,0,0
8843.82,8000.0,1.11,10,14,0,29,0,0,0,0
3526.38,4500.0,0.78,21,2,0,8,0,0,0,0
3390.13,4500.0,0.75,9,3,1,24,0,0,0,0
5618.98,4500.0,1.25,8,3,0,41,0,0,0,0
11484.69,2000.0,5.74,21,21,5,17,1,0,2,0
4010.76,6000.0,0.67,1,16,0,37,0,0,0,0
47136.39,3000.0,15.71,22,26,3,35,0,1,1,1
6842.38,8000.0,0.86,12,12,0,50,0,0,1,0
42582.39,3000.0,14.19,3,18,6,31,1,1,1,1
11922.53,2500.0,4.77,15,12,5,32,1,0,1,0
6807.51,4500.0,1.51,19,12,0,16,0,0,0,0
8098.55,8000.0,1.01,13,13,0,35,0,0,1,0
6391.18,12000.0,0.53,19,25,0,24,0,0,0,0
9930.34,8000.0,1.24,10,3,0,43,0,0,0,0
7220.25,6000.0,1.2,11,4,0,44,0,0,0,0
65646.59,4000.0,16.41,1,3,8,44,1,1,2,1
1177.22,1500.0,0.78,19,15,0,6,0,0,0,0
58767.27,12000.0,4.9,17,3,4,13,0,0,1,0
1595.24,2500.0,0.64,15,17,0,42,0,0,0,0
17660.39,3000.0,5.89,18,6,5,31,1,1,1,0
2895.16,3000.0,0.97,15,13,1,27,0,0,0,0
2593.14,2000.0,1.3,13,11,1,5,0,0,0,0
9479.95,8000.0,1.18,8,26,0,50,0,0,0,0
3080.56,2000.0,1.54,18,26,1,12,0,0,0,0
14405.09,12000.0,1.2,7,6,0,8,0,0,0,0
2640.36,1500.0,1.76,11,25,0,46,0,0,1,0
1078.69,1500.0,0.72,14,21,0,8,0,0,0,0
1715.53,2500.0,0.69,20,5,0,28,0,0,1,0
3353.38,3000.0,1.12,9,13,0,15,0,0,0,0
8611.95,4500.0,1.91,14,16,0,42,0,0,0,0
19213.97,12000.0,1.6,8,8,0,36,0,0,0,0
5664.47,4500.0,1.26,10,16,0,11,0,0,0,0
2651.85,4500.0,0.59,16,1,0,27,0,0,0,0
10358.35,12000.0,0.86,3,22,0,36,0,0,1,0
16455.94,12000.0,1.37,17,15,0,32,0,0,0,0
1879.92,2000.0,0.94,9,22,0,43,0,0,0,0
2279.65,2500.0,0.91,16,16,0,7,0,0,0,0
1957.77,2000.0,0.98,8,2,0,16,0,0,1,0
7511.23,8000.0,0.94,12,16,0,18,1,0,1,0
5213.39,3000.0,1.74,10,11,0,36,0,0,0,0
2295.28,2000.0,1.15,6,13,0,27,0,0,0,0
9118.18,8000.0,1.14,12,6,0,19,0,0,0,0
12707.35,8000.0,1.59,20,23,0,20,0,0,0,0
6028.56,6000.0,1.0,10,24,1,41,0,0,0,0
7159.31,8000.0,0.89,18,26,0,24,0,0,0,0
8181.25,4500.0,1.82,16,14,0,40,0,0,0,0
3670.21,3000.0,1.22,19,12,0,7,0,0,0,0
2687.43,3000.0,0.9,8,13,0,9,0,0,0,0
5126.4,4500.0,1.14,16,3,0,35,0,0,0,0
6243.77,6000.0,1.04,11,11,0,48,0,0,0,0
8882.01,6000.0,1.48,11,24,0,10,0,0,0,0
9296.98,12000.0,0.77,15,5,1,16,0,0,0,0
1505.59,1500.0,1.0,6,14,0,23,0,0,0,0
16427.48,4500.0,3.65,14,22,3,38,0,0,1,0
73096.16,4000.0,18.27,2,4,6,44,1,1,1,1
3936.39,4500.0,0.87,1,23,0,23,0,0,1,0
5053.83,3000.0,1.68,10,22,1,38,0,0,0,0
9327.63,8000.0,1.17,17,15,0,20,0,0,0,0
2216.59,2000.0,1.11,9,12,1,5,0,0,0,0
3256.06,4500.0,0.72,15,3,0,36,0,0,0,0
1388.79,2500.0,0.56,13,27,0,5,0,0,0,0
1264.86,2000.0,0.63,12,25,0,50,0,0,1,0
3647.44,8000.0,0.46,18,1,1,41,1,0,0,0
6902.61,4500.0,1.53,5,18,0,38,0,0,0,0
2606.1,3000.0,0.87,16,5,0,34,0,0,0,0
1927.9,2000.0,0.96,2,26,0,29,1,0,0,0
15746.65,12000.0,1.31,13,28,0,21,0,0,0,0
1178.13,1500.0,0.79,9,8,0,5,0,0,0,0
657.57,1500.0,0.44,9,24,1,42,0,0,0,0
31122.38,2000.0,15.56,23,8,7,27,1,1,2,1
13230.34,2500.0,5.29,19,10,3,14,0,1,1,0
5386.39,6000.0,0.9,18,24,1,14,0,0,0,0
2997.16,2000.0,1.5,11,26,0,27,0,0,1,0
4944.61,4500.0,1.1,18,13,0,18,0,0,1,0
8164.61,6000.0,1.36,15,15,0,37,0,0,0,0
5488.85,4500.0,1.22,11,14,0,12,0,1,2,0
9007.89,8000.0,1.13,10,18,2,16,0,0,0,0
30284.25,8000.0,3.79,9,19,5,30,1,0,1,0
1276.84,1500.0,0.85,13,14,0,10,0,0,0,0
5010.57,2500.0,2.0,15,22,0,49,0,0,0,0
6743.09,6000.0,1.12,19,7,0,33,0,0,0,0
6588.46,8000.0,0.82,4,24,0,20,0,0,0,0
1328.69,1500.0,0.89,17,2,0,5,0,0,0,0
33976.81,8000.0,4.25,19,1,3,30,1,0,1,0
3162.4,3000.0,1.05,17,9,0,6,0,0,0,0
756.98,1500.0,0.5,12,9,0,22,0,0,0,0
1794.0,2500.0,0.72,8,7,0,29,0,0,0,0
3305.03,2500.0,1.32,8,22,0,43,1,0,0,0
1973.81,2500.0,0.79,13,10,0,49,0,0,0,0
4994.85,4500.0,1.11,12,19,0,50,0,0,0,0
23555.35,6000.0,3.93,19,4,5,17,1,0,2,0
1613.75,1500.0,1.08,18,1,0,21,0,0,0,0
4346.73,4500.0,0.97,16,16,0,36,0,0,0,0
1809.36,3000.0,0.6,14,6,1,17,0,0,2,0
2684.96,3000.0,0.89,6,24,0,22,0,0,0,0
1878.62,2000.0,0.94,8,19,1,33,0,0,0,0
4235.43,4500.0,0.94,4,28,1,15,0,0,0,0
4510.27,2500.0,1.8,18,20,0,6,0,1,0,0
4731.39,3000.0,1.58,12,5,0,47,0,0,0,0
2097.19,6000.0,0.35,20,19,1,18,0,0,0,0
21180.61,4500.0,4.71,3,10,5,11,0,1,1,0
31329.99,8000.0,3.92,10,24,5,36,1,1,1,0
3193.48,1500.0,2.13,16,10,0,6,0,0,1,0
1842.05,2500.0,0.74,11,8,0,21,0,0,0,0
7583.97,8000.0,0.95,19,17,0,31,0,0,0,0
11499.04,3000.0,3.83,18,23,4,30,0,0,0,0
4511.28,4500.0,1.0,20,17,1,44,0,0,0,0
19727.99,12000.0,1.64,11,24,0,14,0,0,0,0
1901.14,2000.0,0.95,11,18,0,24,0,0,0,0
1302.44,1500.0,0.87,16,20,0,45,0,0,1,0
5026.7,12000.0,0.42,17,10,0,37,0,0,0,0
2413.71,3000.0,0.8,15,17,0,28,0,1,0,0
15315.75,3000.0,5.11,2,16,9,50,1,1,2,1
48717.88,12000.0,4.06,11,8,5,23,1,0,0,0
906.5,1500.0,0.6,7,14,0,46,0,0,0,0
3735.59,2500.0,1.49,9,22,0,20,0,0,0,0
3106.41,4500.0,0.69,10,13,1,36,0,0,0,0
2911.44,3000.0,0.97,15,8,0,14,0,0,0,0
3113.9,3000.0,1.04,12,1,0,5,0,0,1,0
4128.26,8000.0,0.52,10,12,0,27,0,0,0,0
3940.2,6000.0,0.66,6,22,0,21,0,0,0,0
10530.14,12000.0,0.88,21,11,0,33,0,0,0,0
10995.68,12000.0,0.92,11,11,0,21,0,0,0,0
6912.83,6000.0,1.15,10,11,0,49,0,0,1,0
4835.45,6000.0,0.81,13,19,0,14,0,0,0,0
